timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42293.69,42548.04,42264.13,42492.52,29.68558305
2024-01-01 01:00:00,42465.45,42771.7,42435.49,42618.22,28.80730959
2024-01-01 02:00:00,42619.43,42630.37,42498.02,42575.4,12.87223592
2024-01-01 03:00:00,42582.97,42582.97,42218.16,42333.22,17.97900782
2024-01-01 04:00:00,42328.21,42393.74,42213.22,42393.74,22.14646232
2024-01-01 05:00:00,42395.02,42395.02,42178.4,42233.98,10.25208357
2024-01-01 06:00:00,42241.61,42430.67,42213.55,42397.66,17.50172416
2024-01-01 07:00:00,42405.33,42506.7,42401.99,42498.98,18.02925991
2024-01-01 08:00:00,42490.2,42548.97,42456.34,42545.32,12.14713936
2024-01-01 09:00:00,42552.62,42691.72,42537.54,42634.23,14.16363247
2024-01-01 10:00:00,42666.0,42746.63,42629.58,42700.74,13.31114879
2024-01-01 11:00:00,42701.24,42758.75,42609.93,42695.66,12.40008916
2024-01-01 12:00:00,42693.9,42774.82,42614.75,42653.03,13.56344486
2024-01-01 13:00:00,42662.51,42745.33,42610.57,42721.19,11.78445403
2024-01-01 14:00:00,42688.52,42688.52,42583.76,42612.52,19.53946668
2024-01-01 15:00:00,42612.99,42845.84,42592.32,42780.36,24.40822267
2024-01-01 16:00:00,42784.96,42851.87,42675.38,42714.69,18.5925786
2024-01-01 17:00:00,42743.27,42825.55,42710.84,42820.07,21.36095272
2024-01-01 18:00:00,42818.87,43210.4,42818.87,43109.63,58.81717465
2024-01-01 19:00:00,43130.1,43547.26,43118.25,43517.24,65.71616484
2024-01-01 20:00:00,43539.29,43830.02,43539.29,43674.49,71.90850295
2024-01-01 21:00:00,43691.88,43782.38,43484.4,43603.94,29.46432814
2024-01-01 22:00:00,43629.91,43657.53,43381.03,43515.08,32.22147034
2024-01-01 23:00:00,43551.66,44195.57,43535.48,44176.97,152.72112106
2024-01-02 00:00:00,44183.08,45230.18,44157.45,45074.33,212.60238902
2024-01-02 01:00:00,45063.43,45391.24,44674.4,44850.58,98.69014717
2024-01-02 02:00:00,44901.45,45406.06,44889.66,45401.0,43.17254526
2024-01-02 03:00:00,45407.12,45530.28,45157.62,45412.97,85.93781404
2024-01-02 04:00:00,45424.2,45452.68,45172.67,45189.16,15.58964281
2024-01-02 05:00:00,45183.77,45329.99,45126.9,45187.74,21.69027513
2024-01-02 06:00:00,45182.96,45313.64,45130.96,45172.51,20.83784292
2024-01-02 07:00:00,45173.22,45678.19,45173.22,45468.75,68.12889601
