coin,network,address,balance,Height,custodian
1INCH,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,115332.37122809,35739573,
1INCH,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0,35739573,
1INCH,ETH,https://etherscan.io/address/0x21a31ee1afc51d94c2efccaa2092ad1028285549,2508883.55830819,19129888,
1INCH,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,13117660.50866020,19129888,
1INCH,ETH,https://etherscan.io/address/0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,10000000.00000000,19129888,
1INCH,ETH,https://etherscan.io/address/0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1668522.58055046,19129888,
1INCH,ETH,https://etherscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,103964963.81644500,19129888,
APT,APT,https://tracemove.io/account/0x5bd7de5c56d5691f32ea86c973c73fec7b1445e59736c97158020018c080bb00,227301.81910880,140570325,
APT,APT,https://tracemove.io/account/0x80174e0fe8cb2d32b038c6c888dd95c3e1560736f0d4a6e8bed6ae43b5c91f6f,144051.66898907,140570325,
APT,APT,https://tracemove.io/account/0xae1a6f3d3daccaf77b55044cea133379934bba04a11b9d0bbd643eae5e6e9c70,1837993.31541433,140570325,
APT,APT,https://tracemove.io/account/0xd91c64b777e51395c6ea9dec562ed79a4afa0cd6dad5a87b187c37198a1f855a,227828.06636889,140570325,
APT,APT,https://tracemove.io/account/0xed8c46bec9dbc2b23c60568f822b95b87ea395f7e3fdb5e3adc0a30c55c0a60e,18436471.26055400,140570325,
ARB,ARBITRUM,https://arbiscan.io/address/0xb38e8c17e38363af6ebdcb3dae12e0243582891d,23297521.78859090,176212562,
ARB,ARBITRUM,https://arbiscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,307292996.15700000,176212562,
ARB,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,77934.60808580,19129888,
BNB,BNB,https://explorer.bnbchain.org/address/bnb142q467df6jun6rt5u2ar58sp47hm5f9wvz2cvg,17185720.58988000,365914592,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,48997.63368334,365914592,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,471000.12615712,365914592,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1m5amny2gs3xdyta6pksmr43zu4727w24syyks7,4739.44410517,365914592,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,5622221.10771337,365914592,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1xrfwzlu9c5208lhtn7ywt0mjrhjh4nt4fjyqxy,3465.94059402,365914592,
BNB,BSC,https://bscscan.com/address/0x01c952174c24e1210d26961d456a77a39e1f0bb0,70521.43743131,35739573,
BNB,BSC,https://bscscan.com/address/0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,34571.48138807,35739573,
BNB,BSC,https://bscscan.com/address/0x1fbe2acee135d991592f167ac371f3dd893a508b,28923.32976114,35739573,
BNB,BSC,https://bscscan.com/address/0x29bdfbf7d27462a2d115748ace2bd71a2646946c,42052.02028025,35739573,
BNB,BSC,https://bscscan.com/address/0x3c783c21a0383057d128bae431894a5c19f9cf06,31906.30871878,35739573,
BNB,BSC,https://bscscan.com/address/0x515b72ed8a97f42c568d6a143232775018f133c8,49788.66177637,35739573,
BNB,BSC,https://bscscan.com/address/0x5a52e96bacdabb82fd05763e25335261b270efcb,554868.54551451,35739573,
BNB,BSC,https://bscscan.com/address/0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,37950.93387181,35739573,
BNB,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,119644.35696241,35739573,
BNB,BSC,https://bscscan.com/address/0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,10010.04825284,35739573,
BNB,BSC,https://bscscan.com/address/0xa180fe01b906a1be37be6c534a3300785b20d947,28317.98811098,35739573,
BNB,BSC,https://bscscan.com/address/0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,41179.08441559,35739573,
BNB,BSC,https://bscscan.com/address/0xdccf3b77da55107280bd850ea519df3705d1a75a,44142.04898301,35739573,
BNB,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,46808.87628711,35739573,
BNB,BSC,https://bscscan.com/address/0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,37330.47552994,35739573,
BNB,BSC,https://bscscan.com/address/0xf977814e90da44bfa03b6295a0616a897441acec,8624499.90121096,35739573,
BNB,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,15705.97174729,19129888,
BNB,ETH,https://etherscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,52177.55100000,19129888,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,287.87795224,365914592,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,2950.64000000,365914592,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,5274.91300000,365914592,
BTC,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,3769.30374136,35739573,
BTC,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,605.07139229,35739573,
BTC,BSC,https://bscscan.com/address/0xf977814e90da44bfa03b6295a0616a897441acec,20000.00633000,35739573,
BTC,BTC,https://explorer.btc.com/btc/search/1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,11609.00914522,828307,
BTC,BTC,https://explorer.btc.com/btc/search/1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,1.88356386,828307,
BTC,BTC,https://explorer.btc.com/btc/search/34GUzCVLbdkMQ2UdVTaA4nxPwoovVS7y2J,1180.99985699,828307,
BTC,BTC,https://explorer.btc.com/btc/search/34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16306.62926930,828307,
BTC,BTC,https://explorer.btc.com/btc/search/34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.46692864,828307,
BTC,BTC,https://explorer.btc.com/btc/search/36zSLdRv1jyewjaC12fqK5fptn7PqewunL,0,828307,
BTC,BTC,https://explorer.btc.com/btc/search/38DN2uFMZPiHLHJigfv4kWC9JWJrNnhLcn,0,828307,
BTC,BTC,https://explorer.btc.com/btc/search/38Xnrq8MZiKmYmwobbYdZQ5nnCbX1qvQfE,0,828307,
BTC,BTC,https://explorer.btc.com/btc/search/395vnFScKQ1ay695C6v7gf89UzoFpx3WuJ,1758.53038842,828307,
BTC,BTC,https://explorer.btc.com/btc/search/39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,115177.38865884,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3AeUiDpPPUrUBS377584sFCpx8KLfpX9Ry,467.51317022,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3AtnehKDkFPC1bKvdrEVPSRGCtxQH8F1R8,5314.80399740,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3CySuFKbBS29M7rE5iJakZRNqb3msMeFoN,2776.92683476,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3EVVc8e2rxwUuERtdJCduWig8DnpsUqyA6,7669.22631401,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.35225903,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3HdGoUTbcztBnS7UzY4vSPYhwr424CiWAA,1999.91707484,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3JFJPpH8Chwo7CDbyYQ4XcfgcjEP1FGRMJ,193.94848973,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3JJmF63ifcamPLiAmLgG96RA599yNtY3EQ,0,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37926.97773503,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3LcgLHzTvjLKBixBvkKGiadtiw2GBSKKqH,1999.79780250,828307,
BTC,BTC,https://explorer.btc.com/btc/search/3LtrsjtyLsHoG8WQMe2RFw3de4pLTQZNcY,41.05205835,828307,
