coin,network,address,balance,Height,custodian
1INCH,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,75997.22280000,34848730,
1INCH,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0,34848730,
1INCH,ETH,https://etherscan.io/address/0x21a31ee1afc51d94c2efccaa2092ad1028285549,1006167.21300000,18908894,
1INCH,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,6065867.71900000,18908894,
1INCH,ETH,https://etherscan.io/address/0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,10000000.00000000,18908894,
1INCH,ETH,https://etherscan.io/address/0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1346431.54100000,18908894,
1INCH,ETH,https://etherscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,118572278.40000000,18908894,
APT,APT,https://tracemove.io/account/0x5bd7de5c56d5691f32ea86c973c73fec7b1445e59736c97158020018c080bb00,191043.99750000,129617070,
APT,APT,https://tracemove.io/account/0x80174e0fe8cb2d32b038c6c888dd95c3e1560736f0d4a6e8bed6ae43b5c91f6f,108957.52860000,129617070,
APT,APT,https://tracemove.io/account/0xae1a6f3d3daccaf77b55044cea133379934bba04a11b9d0bbd643eae5e6e9c70,1040015.14700000,129617070,
APT,APT,https://tracemove.io/account/0xd91c64b777e51395c6ea9dec562ed79a4afa0cd6dad5a87b187c37198a1f855a,187223.65430000,129617070,
APT,APT,https://tracemove.io/account/0xed8c46bec9dbc2b23c60568f822b95b87ea395f7e3fdb5e3adc0a30c55c0a60e,18436471.26000000,129617070,
ARB,ARBITRUM,https://arbiscan.io/address/0xb38e8c17e38363af6ebdcb3dae12e0243582891d,48589521.99000000,165788861,
ARB,ARBITRUM,https://arbiscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,264364231.60000000,165788861,
ARB,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,227201.30310000,18908894,
BNB,BNB,https://explorer.bnbchain.org/address/bnb142q467df6jun6rt5u2ar58sp47hm5f9wvz2cvg,17185720.59000000,360073116,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,30684.94472000,360073116,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,471000.12750000,360073116,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1m5amny2gs3xdyta6pksmr43zu4727w24syyks7,4793.37494300,360073116,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,5147184.60600000,360073116,
BNB,BNB,https://explorer.bnbchain.org/address/bnb1xrfwzlu9c5208lhtn7ywt0mjrhjh4nt4fjyqxy,5266.62891700,360073116,
BNB,BSC,https://bscscan.com/address/0x01c952174c24e1210d26961d456a77a39e1f0bb0,13900.41871000,34848730,
BNB,BSC,https://bscscan.com/address/0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,22626.84149000,34848730,
BNB,BSC,https://bscscan.com/address/0x1fbe2acee135d991592f167ac371f3dd893a508b,16168.23653000,34848730,
BNB,BSC,https://bscscan.com/address/0x29bdfbf7d27462a2d115748ace2bd71a2646946c,17978.40149000,34848730,
BNB,BSC,https://bscscan.com/address/0x3c783c21a0383057d128bae431894a5c19f9cf06,21025.18363000,34848730,
BNB,BSC,https://bscscan.com/address/0x515b72ed8a97f42c568d6a143232775018f133c8,19478.82052000,34848730,
BNB,BSC,https://bscscan.com/address/0x5a52e96bacdabb82fd05763e25335261b270efcb,485034.57560000,34848730,
BNB,BSC,https://bscscan.com/address/0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,16379.85340000,34848730,
BNB,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,38185.01181000,34848730,
BNB,BSC,https://bscscan.com/address/0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,10010.04825000,34848730,
BNB,BSC,https://bscscan.com/address/0xa180fe01b906a1be37be6c534a3300785b20d947,23400.41211000,34848730,
BNB,BSC,https://bscscan.com/address/0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,22902.02057000,34848730,
BNB,BSC,https://bscscan.com/address/0xdccf3b77da55107280bd850ea519df3705d1a75a,14871.19859000,34848730,
BNB,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,17225.91381000,34848730,
BNB,BSC,https://bscscan.com/address/0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,23516.46031000,34848730,
BNB,BSC,https://bscscan.com/address/0xf977814e90da44bfa03b6295a0616a897441acec,10257651.79000000,34848730,
BNB,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,15012.87868000,18908894,
BNB,ETH,https://etherscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,52177.55100000,18908894,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,370.46649430,360073116,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,2950.64000000,360073116,
BTC,BNB,https://explorer.bnbchain.org/address/bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,5274.91300000,360073116,
BTC,BSC,https://bscscan.com/address/0x8894e0a0c962cb723c1976a4421c95949be2d4e3,511.00733280,34848730,
BTC,BSC,https://bscscan.com/address/0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0,34848730,
BTC,BSC,https://bscscan.com/address/0xf977814e90da44bfa03b6295a0616a897441acec,23094.73800000,34848730,
BTC,BTC,https://explorer.btc.com/btc/search/1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,12249.01014000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,5752.88453900,823629,
BTC,BTC,https://explorer.btc.com/btc/search/34GUzCVLbdkMQ2UdVTaA4nxPwoovVS7y2J,1180.99985700,823629,
BTC,BTC,https://explorer.btc.com/btc/search/34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16306.62925000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.39840000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/36zSLdRv1jyewjaC12fqK5fptn7PqewunL,0,823629,
BTC,BTC,https://explorer.btc.com/btc/search/38DN2uFMZPiHLHJigfv4kWC9JWJrNnhLcn,0,823629,
BTC,BTC,https://explorer.btc.com/btc/search/38Xnrq8MZiKmYmwobbYdZQ5nnCbX1qvQfE,0,823629,
BTC,BTC,https://explorer.btc.com/btc/search/395vnFScKQ1ay695C6v7gf89UzoFpx3WuJ,1758.53038800,823629,
BTC,BTC,https://explorer.btc.com/btc/search/39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,115177.38860000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3AeUiDpPPUrUBS377584sFCpx8KLfpX9Ry,467.51317020,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3AtnehKDkFPC1bKvdrEVPSRGCtxQH8F1R8,5314.80399700,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3CySuFKbBS29M7rE5iJakZRNqb3msMeFoN,2776.92683500,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3EVVc8e2rxwUuERtdJCduWig8DnpsUqyA6,7669.22631400,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.35224000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3HdGoUTbcztBnS7UzY4vSPYhwr424CiWAA,1999.91707500,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3JFJPpH8Chwo7CDbyYQ4XcfgcjEP1FGRMJ,193.94848970,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3JJmF63ifcamPLiAmLgG96RA599yNtY3EQ,0,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37926.97771000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3LcgLHzTvjLKBixBvkKGiadtiw2GBSKKqH,1999.79780300,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3LtrsjtyLsHoG8WQMe2RFw3de4pLTQZNcY,41.05205835,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,53317.02664000,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3Me9QACjioepv2L2oKTC9QQ87NH6vFe1Zj,192.52148040,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3NXCvmLGz9SxYi6TnjbBQfQMcwiZ1iQETa,541.06194980,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3NjHh71XgjikBoTNYdWgXiNeZcLaKNThgb,888.73530410,823629,
BTC,BTC,https://explorer.btc.com/btc/search/3Qxak1CZhLyZ7GVckKphLURdLBCjMfz9bA,0,823629,
BTC,BTC,https://explorer.btc.com/btc/search/bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,17837.06648000,823629,
BTC,ETH,https://etherscan.io/address/0x21a31ee1afc51d94c2efccaa2092ad1028285549,2.48634456,18908894,
BTC,ETH,https://etherscan.io/address/0x28c6c06298d514db089934071355e5743bf21d60,9.93185335,18908894,
BTC,ETH,https://etherscan.io/address/0xdfd5293d8e347dfe59e90efd55b2956a1343963d,2.43564307,18908894,
BTC,ETH,https://etherscan.io/address/0xf977814e90da44bfa03b6295a0616a897441acec,1976.68700000,18908894,
BUSD,AVAXC,https://snowtrace.io/address/0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,146730.12100000,39774203,
BUSD,AVAXC,https://snowtrace.io/address/0x9f8c163cba728e99993abe7495f06c0a3c8ac8b9,164748.67330000,39774203,
BUSD,BNB,https://explorer.bnbchain.org/address/bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,26076445.42000000,360073116,
BUSD,BNB,https://explorer.bnbchain.org/address/bnb1m5amny2gs3xdyta6pksmr43zu4727w24syyks7,0,360073116,
BUSD,BNB,https://explorer.bnbchain.org/address/bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,42.23500000,360073116,
BUSD,BNB,https://explorer.bnbchain.org/address/bnb1xrfwzlu9c5208lhtn7ywt0mjrhjh4nt4fjyqxy,0,360073116,
BUSD,BSC,https://bscscan.com/address/0x01c952174c24e1210d26961d456a77a39e1f0bb0,0,34848730,
BUSD,BSC,https://bscscan.com/address/0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,0,34848730,
BUSD,BSC,https://bscscan.com/address/0x1fbe2acee135d991592f167ac371f3dd893a508b,0,34848730,
BUSD,BSC,https://bscscan.com/address/0x29bdfbf7d27462a2d115748ace2bd71a2646946c,0,34848730,
BUSD,BSC,https://bscscan.com/address/0x3c783c21a0383057d128bae431894a5c19f9cf06,11110631.42000000,34848730,
BUSD,BSC,https://bscscan.com/address/0x515b72ed8a97f42c568d6a143232775018f133c8,0,34848730,
